1,"DHL, PTX, BFJ, ? ",multiple
2,Video : Cassette : : Computer : ? ,multiple
3,"Look at this series: 70, 71, 76, __, 81, 86, 70, 91, ... What number should fill the blank?",multiple
4,42 40 38 35 33 31 28 ,multiple
5,11 14 14 17 17 20 20 ,multiple
6,Which word does NOT belong with the others? ,multiple
7,Which word does NOT belong with the others? ,multiple
8,WAITRESS : RESTAURANT ,multiple
9,DEPRESSED : SAD ,multiple
10,"CMM, EOO, GQQ,  _____ , KUU ",multiple
11,"G, J, N, Q, U, __",multiple
12,3 5 35 10 12 35 17,multiple
13,"Look at this series: 8, 43, 11, 41, __, 39, 17, ... What number should fill in the blank?",multiple
14,Candid is to indirect as honest is to,multiple
15,"31, 29, 24, 22, 17, ? ",multiple
16,Oceans : Deserts : : Waves : ? ,multiple
17,"2Z5, 7Y7, 14X9, 23W11, 34V13, ?",multiple
18,Find the one which does not belong to that group ? ,multiple
19,"8, 27, 64, 100, 125, 216, 343",multiple
20,"396, 462, 572, 427, 671, 264",multiple
21,"Look at this series: 2, 6, 18, 54, ... What number should come next?",multiple
22,what are the different types of real data type in C ?,multiple
23,What will you do to treat the constant 3.14 as a long double?,multiple
24,Which of the following statements should be used to obtain a remainder after dividing 3.14 by 2.1 ?,multiple
25,"One morning Gary and Steve were talking to each other face to face at a crossing. If Gary faced North, where did Steve's shadow fall",multiple
26,"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.",multiple
27,"Pick the odd one:  2, 5, 10, 17, 26, 37, 50, 64",multiple
28,"8, 7, 11, 12, 14, 17, 17, 22, (....)",multiple
29,"15, 31, 63, 127, 255, (....)",multiple
30,"3, 7, 6, 5, 9, 3, 12, 1, 15, (....)",multiple
31,"Of the following two statements, both of which cannot be true, but both can also be false. Which are these two statements ? I. All machines make noise II. Some machines are noisy III. No machine makes noise IV. Some machines are not noisy ",multiple
32,"There are five books A, B, C, D and E placed on a table. If A is placed below E, C is placed above D, B is placed below A and D is placed above E, then which of the following books touches the surface of the table ?",multiple
33,"Introducing a man, a woman said, 'His wife is the only daughter of my father.' How is that man related to the woman? ",multiple
34,A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%? ,multiple
35, A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour? ,multiple
36, What percentage of numbers from 1 to 70 have 1 or 9 in the unit's digit? ,multiple
37," If A = x% of y and B = y% of x, then which of the following is true? ",multiple
38,"The ratio between the speeds of two trains is 7: 8. If the second train runs 440 kms in 4 hours, then the speed of the first train is: ",multiple
39,A is twice as good a workman as B and together they finish a piece of work in 18 days. In how many days will A alone finish the work?,multiple
40,"Eighteen years ago, a father was three times as old as his son. Now the father is only twice as old his son. Then the sum of the present ages of the son and the father is: ",multiple
41,"An amount of money is to be divided between P, Q and R in the ratio of 3:7:12. If the difference between the shares of P and Q is Rs.2400, what will be the difference between Q and R's share?",multiple
42,"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?",multiple
43,"39 persons can repair a road in 12 days, working 5 hours a day. In how many days will 30 persons, working 6 hours a day, complete the work?",multiple
44,"A boat can travel with a speed of 13 km/hr in still water. If the speed of the stream is 4 km/hr, find the time taken by the boat to go 68 km downstream.",multiple
45,How much time will it take for an amount of Rs. 450 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,multiple
